dataset,episode_id,failure_class,t,onset,label,verdict,prompt_key
ollama7b,real-context_corruption-009,context_corruption,3,3,1,0,c70d5b835537
ollama7b,real-tool_cascade-019,tool_cascade,6,3,1,1,d6cc854163f0
ollama7b,real-goal_drift-013,goal_drift,4,2,1,1,afe36c3f98da
ollama7b,real-tool_cascade-001,tool_cascade,4,3,1,0,cc988d5a0536
ollama7b,real-tool_cascade-023,tool_cascade,6,3,1,1,5782435b1ec8
ollama7b,real-looping-002,looping,3,3,1,0,9fdbc63f191f
ollama7b,real-looping-020,looping,3,3,1,0,64e2d667ae08
ollama7b,real-goal_drift-014,goal_drift,3,2,1,1,0802ef36bf20
ollama7b,real-goal_drift-019,goal_drift,7,3,1,1,e2bd82f05527
ollama7b,real-context_corruption-013,context_corruption,2,2,1,0,809e9b59bb3e
ollama7b,real-looping-014,looping,3,3,1,0,0a422bc3d1fb
ollama7b,real-tool_cascade-005,tool_cascade,5,2,1,1,a73fdc064c78
ollama7b,real-goal_drift-015,goal_drift,4,3,1,1,311f0a3b4578
ollama7b,real-goal_drift-016,goal_drift,4,2,1,1,374e1f5af50b
ollama7b,real-goal_drift-018,goal_drift,5,2,1,1,21d57d719985
ollama7b,real-goal_drift-006,goal_drift,2,2,1,1,fff6cccf488d
ollama7b,real-goal_drift-001,goal_drift,4,3,1,1,74cf89bafe35
ollama7b,real-tool_cascade-022,tool_cascade,6,4,1,0,c81d1ffa81c0
ollama7b,real-tool_cascade-006,tool_cascade,6,5,1,0,a9bb54775324
ollama7b,real-looping-019,looping,3,2,1,1,085b9e2af056
ollama7b,real-goal_drift-011,goal_drift,4,3,1,1,4010a785d123
ollama7b,real-tool_cascade-011,tool_cascade,3,3,1,0,62b4de2307eb
ollama7b,real-tool_cascade-012,tool_cascade,4,3,1,1,676f9be9b863
ollama7b,real-looping-007,looping,5,2,1,1,744fb934bfe6
ollama7b,real-context_corruption-007,context_corruption,4,2,1,0,c1367e161f16
ollama7b,real-looping-009,looping,4,3,1,1,25bb672d375d
ollama7b,real-context_corruption-005,context_corruption,5,3,1,0,10d4ace66bda
ollama7b,real-looping-012,looping,3,3,1,0,c85cfa5facb7
ollama7b,real-goal_drift-004,goal_drift,2,2,1,1,1f31848c65a1
ollama7b,real-looping-005,looping,5,2,1,1,a7062cca524b
ollama7b,real-goal_drift-003,goal_drift,4,3,1,1,2eb3b7ace1e7
ollama7b,real-context_corruption-015,context_corruption,6,3,1,0,2bdd093bebed
ollama7b,real-looping-023,looping,3,3,1,0,54f5d99a2e55
ollama7b,real-context_corruption-017,context_corruption,2,2,1,0,5c7ddef4ffcf
ollama7b,real-looping-000,looping,4,3,1,1,9ffc4e40f2c9
ollama7b,real-tool_cascade-016,tool_cascade,4,3,1,0,0eeae54a8fd9
ollama7b,real-context_corruption-003,context_corruption,3,3,1,0,18168cefd419
ollama7b,real-looping-017,looping,4,3,1,1,17961e8d27a2
ollama7b,real-looping-010,looping,3,2,1,1,7e5392bbc106
ollama7b,real-goal_drift-022,goal_drift,5,3,1,1,58da2dc7aa94
ollama7b,real-looping-004,looping,3,2,1,1,cd99ba173721
ollama7b,real-looping-006,looping,5,3,1,1,63dbfaac5e59
ollama7b,real-context_corruption-010,context_corruption,3,2,1,0,97d799964cbd
ollama7b,real-tool_cascade-015,tool_cascade,3,3,1,0,d357ce00925a
ollama7b,real-goal_drift-023,goal_drift,2,2,1,1,e8503ad46238
ollama7b,real-tool_cascade-003,tool_cascade,4,3,1,0,de5294afbbab
ollama7b,real-tool_cascade-018,tool_cascade,5,3,1,0,df5d442cfe4e
ollama7b,real-tool_cascade-020,tool_cascade,3,2,1,1,489d979399e3
ollama7b,real-context_corruption-004,context_corruption,3,3,1,0,32135259e4bf
ollama7b,real-tool_cascade-010,tool_cascade,3,3,1,0,9978db3d444c
ollama7b,real-looping-008,looping,5,3,1,1,aed80e4d4d30
ollama7b,real-looping-003,looping,6,3,1,1,d44faaa953f9
ollama7b,real-context_corruption-006,context_corruption,6,3,1,1,c7e086e676db
ollama7b,real-goal_drift-020,goal_drift,2,3,0,0,809e9b59bb3e
ollama7b,real-looping-004,looping,1,2,0,0,b7cb47c71f82
ollama7b,real-healthy-056,healthy,0,,0,0,c102fe105ab7
ollama7b,real-goal_drift-001,goal_drift,0,3,0,0,3ab4a27cce0b
ollama7b,real-healthy-030,healthy,5,,0,0,5f3ecd354eac
ollama7b,real-healthy-057,healthy,3,,0,0,d342b910952c
ollama7b,real-looping-018,looping,0,2,0,0,b1ecdbf8a6fa
ollama7b,real-context_corruption-001,context_corruption,0,3,0,0,3ab4a27cce0b
ollama7b,real-goal_drift-002,goal_drift,1,2,0,0,4244dccfd2db
ollama7b,real-healthy-067,healthy,6,,0,0,170b8cdd18f9
ollama7b,real-healthy-040,healthy,0,,0,0,44e3f82d1254
ollama7b,real-healthy-026,healthy,1,,0,0,be3f715409a1
ollama7b,real-looping-002,looping,0,3,0,0,fa6397db0970
ollama7b,real-healthy-028,healthy,1,,0,0,0612861b2bbb
ollama7b,real-context_corruption-005,context_corruption,1,3,0,0,30795bc53efb
ollama7b,real-healthy-038,healthy,0,,0,0,35fb6618da9e
ollama7b,real-tool_cascade-019,tool_cascade,2,3,0,0,2e540413cc5e
ollama7b,real-context_corruption-021,context_corruption,1,2,0,0,611109cd9c48
ollama7b,real-looping-023,looping,0,3,0,0,7c30285a8b29
ollama7b,real-goal_drift-003,goal_drift,2,3,0,0,0745c728cbf3
ollama7b,real-context_corruption-019,context_corruption,2,3,0,0,2e540413cc5e
ollama7b,real-healthy-060,healthy,3,,0,0,19bd2baec38e
ollama7b,real-healthy-046,healthy,2,,0,0,9280b98b8a72
ollama7b,real-healthy-015,healthy,6,,0,0,2bdd093bebed
ollama7b,real-goal_drift-018,goal_drift,1,2,0,0,e4510f227608
ollama7b,real-healthy-063,healthy,3,,0,0,5cd38e6dfa61
ollama7b,real-healthy-059,healthy,1,,0,0,68121eaab723
ollama7b,real-goal_drift-005,goal_drift,0,3,0,0,3e8d86d6927d
ollama7b,real-healthy-004,healthy,3,,0,0,32135259e4bf
ollama7b,real-healthy-011,healthy,4,,0,0,f374d98602d2
ollama7b,real-tool_cascade-015,tool_cascade,1,3,0,0,e0798c5355a0
ollama7b,real-healthy-007,healthy,3,,0,0,aa8ee1f9c78c
ollama7b,real-goal_drift-014,goal_drift,1,2,0,0,611109cd9c48
ollama7b,real-context_corruption-008,context_corruption,1,4,0,0,f59c94a61193
ollama7b,real-looping-022,looping,1,3,0,0,e0798c5355a0
ollama7b,real-healthy-001,healthy,2,,0,0,89c43518d0e3
ollama7b,real-healthy-064,healthy,3,,0,0,d342b910952c
ollama7b,real-context_corruption-007,context_corruption,1,2,0,0,3ee4aa78a050
ollama7b,real-healthy-065,healthy,6,,0,1,92135a4ef2d7
ollama7b,real-looping-021,looping,1,2,0,0,611109cd9c48
ollama7b,real-tool_cascade-006,tool_cascade,4,5,0,0,e4de526b465e
ollama7b,real-healthy-002,healthy,3,,0,1,3d5c0093bd20
ollama7b,real-goal_drift-015,goal_drift,0,3,0,0,b464f625cedf
ollama7b,real-looping-000,looping,2,3,0,0,908c0d682173
ollama7b,real-healthy-000,healthy,2,,0,0,908c0d682173
ollama7b,real-healthy-020,healthy,2,,0,0,809e9b59bb3e
ollama7b,real-healthy-061,healthy,5,,0,0,bb8143768e1c
ollama7b,real-healthy-016,healthy,0,,0,0,7c30285a8b29
ollama7b,real-goal_drift-007,goal_drift,0,2,0,0,4f4a3e16a589
ollama7b,real-looping-017,looping,2,3,0,0,5c7ddef4ffcf
ollama7b,real-looping-010,looping,0,2,0,0,2dfc5803a1ac
ollama7b,real-context_corruption-016,context_corruption,1,2,0,0,68258c5f4c4e
ollama7b,real-healthy-068,healthy,4,,0,0,ac684ec9f2e0
ollama7b,real-context_corruption-014,context_corruption,0,3,0,0,92514c7cde27
ollama7b,real-tool_cascade-018,tool_cascade,2,3,0,0,c8ee1d216158
ollama7b,real-healthy-027,healthy,0,,0,0,2fd77408d86b
ollama7b,real-looping-020,looping,0,3,0,0,d7c74a8f2330
ollama7b,real-tool_cascade-002,tool_cascade,1,3,0,0,4244dccfd2db
ollama7b,real-tool_cascade-008,tool_cascade,0,2,0,0,0f37add3a13d
ollama7b,real-healthy-021,healthy,2,,0,0,2293068b1968
ollama7b,real-healthy-049,healthy,5,,0,0,ee4b99650e43
ollama7b,real-healthy-005,healthy,1,,0,0,30795bc53efb
ollama7b,real-tool_cascade-001,tool_cascade,0,3,0,0,3ab4a27cce0b
ollama7b,real-looping-011,looping,1,2,0,0,923b85927e59
ollama7b,real-goal_drift-023,goal_drift,1,2,0,0,68258c5f4c4e
ollama7b,real-tool_cascade-010,tool_cascade,1,3,0,0,c20248de1b90
ollama7b,real-looping-005,looping,0,2,0,0,3e8d86d6927d
ollama7b,real-context_corruption-009,context_corruption,1,3,0,0,5b1e1e9cd954
ollama7b,real-healthy-014,healthy,4,,0,0,f8d13c689592
ollama7b,real-healthy-066,healthy,1,,0,0,68121eaab723
ollama7b,real-healthy-022,healthy,3,,0,0,f7cde7f8fa3b
ollama7b,real-healthy-023,healthy,6,,0,1,f4f43775ca5c
ollama7b,real-context_corruption-004,context_corruption,2,3,0,0,3f6815d2c862
ollama7b,real-looping-008,looping,1,3,0,0,f59c94a61193
ollama7b,real-looping-009,looping,1,3,0,0,5b1e1e9cd954
ollama7b,real-context_corruption-023,context_corruption,1,2,0,0,68258c5f4c4e
ollama7b,real-healthy-031,healthy,1,,0,0,c67a4b9e8354
ollama7b,real-healthy-017,healthy,4,,0,0,37519fcf5d3e
ollama7b,real-healthy-055,healthy,1,,0,0,7e622df3c05c
ollama7b,real-context_corruption-022,context_corruption,0,3,0,0,b464f625cedf
ollama7b,real-context_corruption-017,context_corruption,0,2,0,0,e0228b39ba3c
ollama7b,real-healthy-058,healthy,4,,0,0,00a46724d7f6
ollama7b,real-goal_drift-006,goal_drift,1,2,0,0,d94109a1c811
ollama7b,real-healthy-043,healthy,3,,0,0,1e9dff4e49ec
ollama7b,real-healthy-069,healthy,4,,0,0,00b0d45e26a6
ollama7b,real-context_corruption-002,context_corruption,0,3,0,0,fa6397db0970
ollama7b,real-healthy-042,healthy,5,,0,0,52ce09936955
ollama7b,real-looping-019,looping,1,2,0,0,be3f715409a1
ollama7b,real-healthy-034,healthy,2,,0,0,9b42543cbe9b
ollama7b,real-tool_cascade-023,tool_cascade,1,3,0,0,68258c5f4c4e
ollama7b,real-healthy-006,healthy,6,,0,1,1ab311ff6200
ollama7b,real-goal_drift-019,goal_drift,0,3,0,0,44e3f82d1254
ollama7b,real-looping-003,looping,1,3,0,0,93e9324f9aea
ollama7b,real-tool_cascade-022,tool_cascade,3,4,0,0,f7cde7f8fa3b
ollama7b,real-looping-007,looping,0,2,0,0,4f4a3e16a589
ollama7b,real-healthy-008,healthy,2,,0,0,4885eec4379e
ollama7b,real-healthy-054,healthy,4,,0,0,f184ad368c96
ollama7b,real-goal_drift-011,goal_drift,1,3,0,0,923b85927e59
ollama7b,real-looping-015,looping,2,3,0,0,d2a69a236629
ollama7b,real-healthy-012,healthy,1,,0,0,4732a3672d5e
ollama7b,real-goal_drift-022,goal_drift,0,3,0,0,b464f625cedf
ollama7b,real-healthy-035,healthy,1,,0,0,0612861b2bbb
ollama7b,real-context_corruption-020,context_corruption,0,3,0,0,d7c74a8f2330
ollama7b,real-goal_drift-016,goal_drift,0,2,0,0,7c30285a8b29
ollama7b,real-healthy-062,healthy,4,,0,0,56a4c5c274d3
ollama7b,real-healthy-018,healthy,3,,0,0,d06beec7a3aa
ollama7b,real-healthy-025,healthy,1,,0,0,e4510f227608
ollama7b,real-looping-013,looping,0,2,0,0,d7c74a8f2330
ollama7b,real-healthy-041,healthy,4,,0,0,95f5bc78b7cd
ollama7b,real-healthy-029,healthy,2,,0,0,4c3e27bac5e1
ollama7b,real-tool_cascade-012,tool_cascade,1,3,0,0,4732a3672d5e
ollama7b,real-goal_drift-004,goal_drift,1,2,0,0,b7cb47c71f82
ollama7b,real-healthy-019,healthy,0,,0,0,44e3f82d1254
ollama7b,real-healthy-051,healthy,1,,0,0,af27f67d72c1
ollama7b,real-healthy-053,healthy,0,,0,0,b6ad18352a49
ollama7b,real-looping-006,looping,1,3,0,0,d94109a1c811
ollama7b,real-healthy-045,healthy,2,,0,0,ff438312e37b
ollama7b,real-healthy-013,healthy,1,,0,0,292eb79ab1ee
ollama7b,real-tool_cascade-016,tool_cascade,1,3,0,0,68258c5f4c4e
ollama7b,real-tool_cascade-009,tool_cascade,1,2,0,0,5b1e1e9cd954
