framework,dataset,episode_id,is_healthy,failure_class,tau,T,alarm_step,outcome,delay,lead,budget_saved_frac
autogen,autogen7b_real2,autogen-real-looping-001,False,looping,2.0,8,3.0,true_alarm,1.0,4.0,0.5714285714285714
autogen,autogen7b_real2,autogen-real-context_corruption-005,False,context_corruption,2.0,12,3.0,true_alarm,1.0,8.0,0.7272727272727273
autogen,autogen7b_real2,autogen-real-tool_cascade-000,False,tool_cascade,3.0,5,4.0,true_alarm,1.0,0.0,0.0
autogen,autogen7b_real2,autogen-real-looping-005,False,looping,2.0,8,3.0,true_alarm,1.0,4.0,0.5714285714285714
autogen,autogen7b_real2,autogen-real-context_corruption-002,False,context_corruption,2.0,4,3.0,true_alarm,1.0,0.0,0.0
autogen,autogen7b_real2,autogen-real-goal_drift-002,False,goal_drift,2.0,4,,miss,,,
autogen,autogen7b_real2,autogen-real-looping-000,False,looping,2.0,7,3.0,true_alarm,1.0,3.0,0.5
autogen,autogen7b_real2,autogen-real-goal_drift-003,False,goal_drift,2.0,6,3.0,true_alarm,1.0,2.0,0.4
autogen,autogen7b_real2,autogen-real-looping-003,False,looping,2.0,10,3.0,true_alarm,1.0,6.0,0.6666666666666666
autogen,autogen7b_real2,autogen-real-context_corruption-001,False,context_corruption,3.0,7,4.0,true_alarm,1.0,2.0,0.3333333333333333
