episode_id,label,peak,alarmed,evidence
organic-demo-075,arithmetic_error,0.41,False,stated 1861.0 vs truth 2146 (derivable from grounded inputs)
organic-demo-076,other,4.009,True,no figure in answer
organic-demo-078,other,2.698,True,no figure in answer
organic-demo-079,arithmetic_error,0.474,False,stated 13384.6 vs truth 3454 (derivable from grounded inputs)
organic-demo-081,incomplete,2.113,True,total 2533.0 == truth but weather never looked up for Lisbon
organic-demo-082,hallucinated,2.852,True,total 2951.8 is neither the correct 2810 nor any arithmetic derivation of grounded inputs
organic-demo-083,other,0.481,False,no figure in answer
organic-demo-084,arithmetic_error,2.351,True,stated 9136.0 vs truth 2561 (derivable from grounded inputs)
organic-demo-085,arithmetic_error,1.516,True,stated 3531.15 vs truth 3809 (derivable from grounded inputs)
organic-demo-086,other,0.516,False,no figure in answer
organic-demo-087,arithmetic_error,2.214,True,stated 1859.54 vs truth 2262 (derivable from grounded inputs)
organic-demo-088,arithmetic_error,0.977,False,stated 3576.0 vs truth 2420 (derivable from grounded inputs)
organic-demo-089,arithmetic_error,0.519,False,stated 2729.0 vs truth 2714 (derivable from grounded inputs)
organic-demo-090,arithmetic_error,0.335,False,stated 1551.74 vs truth 3063 (derivable from grounded inputs)
organic-demo-091,arithmetic_error,2.385,True,stated 2318.0 vs truth 2462 (derivable from grounded inputs)
organic-demo-092,arithmetic_error,0.733,False,stated 2437.0 vs truth 2861 (derivable from grounded inputs)
organic-demo-093,incomplete,1.061,True,"total 3330.0 == truth but weather never looked up for Lisbon, Tunis, Osaka"
organic-demo-094,arithmetic_error,1.042,True,stated 16470.0 vs truth 4043 (derivable from grounded inputs)
organic-demo-095,incomplete,0.894,False,"total 2147.0 == truth but weather never looked up for Lisbon, Cusco, Osaka"
organic-demo-096,arithmetic_error,0.9,False,stated 2708.0 vs truth 2990 (derivable from grounded inputs)
organic-demo-098,incomplete,0.613,False,"total 3313.0 == truth but weather never looked up for Osaka, Bergen, Prague"
organic-demo-099,incomplete,0.977,False,"total 2850.0 == truth but weather never looked up for Bergen, Prague, Osaka"
organic-demo-102,other,0.826,False,no figure in answer
organic-demo-104,other,0.126,False,no figure in answer
organic-demo-105,arithmetic_error,0.838,False,stated 2912.0 vs truth 3012 (derivable from grounded inputs)
organic-demo-107,arithmetic_error,0.402,False,stated 4964.0 vs truth 3768 (derivable from grounded inputs)
organic-demo-108,arithmetic_error,0.638,False,stated 2187.0 vs truth 2858 (derivable from grounded inputs)
organic-demo-110,arithmetic_error,0.925,False,stated 2340.0 vs truth 2484 (derivable from grounded inputs)
organic-demo-111,other,0.122,False,no figure in answer
organic-demo-112,arithmetic_error,0.509,False,stated 6828.0 vs truth 3220 (derivable from grounded inputs)
organic-demo-114,incomplete,0.418,False,"total 2684.0 == truth but weather never looked up for Lisbon, Tunis, Osaka"
organic-demo-115,arithmetic_error,0.453,False,stated 5763.0 vs truth 2657 (derivable from grounded inputs)
organic-demo-116,incomplete,2.087,True,"total 3270.0 == truth but weather never looked up for Bergen, Lisbon, Osaka"
organic-demo-117,other,2.049,True,no figure in answer
organic-demo-118,incomplete,0.723,False,"total 3948.0 == truth but weather never looked up for Osaka, Lisbon, Tunis"
organic-demo-119,incomplete,0.667,False,"total 2197.0 == truth but weather never looked up for Lisbon, Bergen, Cusco"
